issue_id,type,phase,category,is_comment,is_closed,interval_fir_comment(hour),interval_closed(hour),body_len
I297,github issue,Construction,configuration,1,1,0.397777778,915.6361111,1007
I298,github issue,Operation,deployment,0,0,,,211
I299,github issue,Operation,deployment,1,1,79.14,199.5502778,635
I300,github issue,Operation,deployment,1,1,0.010277778,0.571944444,140
I301,github issue,Operation,deployment,1,1,0.014722222,0.016111111,194
I302,github issue,Operation,deployment,1,1,0.034166667,0.17,118
I303,github issue,Operation,deployment,1,1,0.075555556,0.400555556,118
I304,github issue,Operation,deployment,1,1,0.046944444,0.151666667,118
I305,github issue,Operation,deployment,0,1,,0.610555556,118
I306,github issue,Operation,deployment,1,1,0.105833333,0.2625,118
I307,github issue,Operation,deployment,1,1,0.075,0.128888889,118
I308,github issue,Operation,deployment,0,1,,0.241944444,118
I309,github issue,Operation,deployment,1,1,0.010277778,0.056944444,118
I310,github issue,Operation,deployment,1,1,0.041666667,0.340833333,118
I311,github issue,Operation,deployment,0,1,,0.268333333,118
I312,github issue,Operation,deployment,0,1,,0.084166667,118
I313,github issue,Operation,deployment,1,1,0.061666667,0.548611111,118
I314,github issue,Operation,deployment,0,1,,0.134166667,118
I315,github issue,Operation,deployment,1,1,0.1725,0.304166667,118
