id,is_new,type,is_answer,is_acceptAnswer,interval_fir_ans(hour),interval_acc_ans(hour),body_len
P773,0,so post,1,0,2.670555556,,2384
P774,0,so post,1,1,0.619444444,0.619444444,168
P775,0,so post,1,1,98.85416667,98.85416667,1163
P776,0,so post,0,0,,,7603
P777,0,so post,0,0,,,2454
P778,0,so post,1,1,30.36055556,30.36055556,1882
P779,0,so post,1,1,3.520555556,68.23777778,713
P780,0,so post,1,1,20613.71444,20613.71444,483
P781,0,so post,1,1,0.036111111,0.036111111,180
P782,0,so post,1,0,3297.376389,,287
P783,0,so post,1,0,6033.708056,,157
P784,0,so post,1,0,11827.64806,,992
P785,0,so post,1,1,0.424722222,0.424722222,1824
P786,0,so post,1,1,0.881111111,13.8,1158
P787,0,so post,1,0,13.22861111,,2556
P788,0,so post,1,1,10.37222222,10.37222222,662
P789,0,so post,0,0,,,2789
P790,0,so post,0,0,,,1577
P791,0,so post,1,0,11.22277778,,1447
P792,0,so post,0,0,,,347
P793,0,so post,1,1,11.66944444,499.7127778,1219
P794,0,so post,1,1,1666.811944,1666.811944,834
P795,0,so post,1,0,7518.310278,,1632
P796,0,so post,1,1,0.270833333,5.712777778,204
P797,0,so post,1,1,4.04,4.04,1048
P798,0,so post,0,0,,,344
P799,0,so post,0,0,,,2453
P800,0,so post,1,0,281.1280556,,273
P801,0,so post,0,0,,,184
P802,0,so post,1,1,4.29,4.29,221
P803,0,so post,1,0,3.320833333,,605
P804,0,so post,1,1,9.109166667,9.109166667,2102
P805,0,so post,1,1,66.22416667,66.22416667,1076
P806,0,so post,1,1,52.32805556,52.32805556,552
P807,0,so post,1,0,1.008333333,,125
P808,0,so post,1,1,88.77472222,88.77472222,1785
P809,0,so post,1,0,1.211666667,,1118
P810,0,so post,0,0,,,723
P811,0,so post,1,0,182.7075,,8847
P812,0,so post,1,1,0.238055556,0.238055556,501
P813,0,so post,1,1,0.0675,0.0675,3109
P814,0,so post,1,1,18.94638889,18.94638889,3329
P815,0,so post,0,0,,,1164
P816,0,so post,1,0,26.60472222,,1882
P817,0,so post,1,1,8.517777778,113.3927778,1598
P818,0,so post,1,1,6090.955556,6090.955556,1503
P819,0,so post,1,1,0.919166667,0.919166667,825
P820,0,so post,1,1,18.47222222,18.47222222,879
P821,0,so post,1,0,1946.818333,,2027
P822,0,so post,1,0,3034.305,,2093
P823,0,so post,1,1,0.688055556,0.688055556,554
P824,0,so post,1,1,3.718333333,3.718333333,3189
P825,0,so post,1,1,0.949722222,0.949722222,2505
P826,0,so post,0,0,,,486
P827,0,so post,1,1,0.160277778,2.124722222,907
P828,0,so post,0,0,,,5865
P829,0,so post,1,1,72.45083333,72.45083333,3293
P830,0,so post,1,1,0.346944444,0.346944444,1346
P831,0,so post,0,0,,,1244
